Total	S3	S4	S5	S6	S8
435	3.2834312	35.0319132	31.1132996	10.9962436	35.4244248
437	3.0577872	35.039564	2.4177392	9.9624448	41.7430352
438	3.1219002	55.6153294	2.5563854	8.2678318	79.7566988
440	21.3632914	160.4413586	16.0218924	27.6346474	60.2119166
441	4.4794612	37.192534	3.431123	11.6874148	35.3183418
442	4.0217784	37.2500916	3.6633228	12.0362514	36.8076364
444	4.030986	35.6386176	2.6127458	6.6438422	28.1074602
445	4.6092392	97.6374812	4.065088	13.1471876	55.865261
446	3.875778	35.7436806	2.4891	8.388954	34.5160872
448	3.105409	54.135416	2.3195052	10.0036426	66.3473298
449	4.5835368	38.0628604	3.9435814	14.3735992	39.2077568
450	3.9100498	49.6015566	2.6740606	10.7064712	51.3218084
451	21.746153	119.8080102	17.7240118	28.90355	69.0030538
453	5.071937	44.2123054	2.9124138	8.9041986	42.3591276
455	4.6370356	62.3230976	4.6560036	10.5980076	49.46107
456	3.6083448	26.0316102	2.475739	6.6364868	34.0379248
457	4.7069092	34.3856444	28.3396454	13.5921208	36.0258852
458	3.1223392	31.6419874	2.663097	6.9112058	32.3238876
459	3.8814304	40.4899968	4.2953644	12.8935164	112.6871276
460	3.2160464	35.2842702	3.0345254	18.6628376	49.0785976
461	23.374856	74.1141108	15.8562366	37.9757456	74.2336446
462	3.7620778	52.2214612	2.928117	16.0680136	32.6783546
463	3.7445138	28.8401374	3.7998472	11.156663	45.1580652
464	3.2146786	39.806158	2.871572	13.4710776	42.1651268
465	3.8223582	34.3807956	4.2241276	11.5349332	33.9698748
467	4.3758458	44.9308844	3.5742392	14.1605116	42.6639468
468	4.5663706	36.9168368	3.4690706	13.1372312	35.192284
470	3.0634364	32.6444316	2.4085654	7.4014294	24.0074636
471	28.1125048	55.7227276	15.9588328	30.8578812	70.8732808
472	2.974041	32.9445628	2.9228446	11.6159112	41.213632
473	3.4214456	124.9577652	2.727014	9.6983686	77.6302836
475	5.7607916	81.705184	4.1325454	12.826881	75.5448032
476	4.1625384	44.4383016	3.154184	17.4865732	44.0023748
477	4.8623766	57.053155	4.669594	11.1483412	86.1315612
478	4.2574436	40.4288704	4.3058004	14.2963612	44.7405312
480	3.0114034	56.2027982	2.4123278	7.1506048	36.3957554
481	19.6657244	67.5563086	16.3829648	29.3752284	62.221631
483	3.3180332	217.5021348	2.658238	11.4472814	41.5728106
484	3.4008326	75.0924668	2.8016806	9.6360648	87.8398778
486	3.43107	36.587698	3.5131848	13.6748972	37.3965792
487	5.7762048	92.7850236	3.9032446	11.8424608	69.7973094
490	4.1093654	70.456639	3.8290466	7.306472	63.7240178
492	20.7347564	56.7359308	16.489531	35.182885	79.0678032
493	4.0988456	34.4586674	3.0975144	15.4250364	43.294094
494	3.2616626	44.0976804	2.8078732	7.991339	46.9643928
495	3.442091	48.4928984	3.304049	11.2473702	57.268676
497	5.4849964	47.3217356	4.5386268	13.1414292	42.4448764
498	4.1583276	34.3995656	3.0680872	14.075846	40.3913528
499	4.8327236	40.9869924	4.315844	16.483948	36.5278654
500	5.2850508	49.0310896	3.5483694	10.8724924	90.930008
501	4.19273	73.5257692	2.9933572	14.7884096	35.754309
502	19.7267178	69.4838482	16.7103532	30.3960268	62.5414296
503	6.0005132	37.5133386	4.0662592	12.5320512	39.1478126
504	4.6554136	40.7970184	3.1223912	12.3621748	31.8567186
505	3.9663094	69.0163322	3.1486148	11.2251516	44.3870732
506	3.0864526	37.3487088	3.2747696	7.745948	50.2086228
507	4.2735308	39.3845304	4.363174	12.7664544	48.9607288
508	4.5463036	41.136756	3.9569052	14.5237336	41.785292
510	4.164886	75.9537724	3.360478	14.2464752	38.8636172
512	24.118529	89.991346	16.852783	31.4667098	155.6366576
513	4.294894	41.4062572	3.1890144	14.0037344	36.454798
514	5.5242282	56.4981538	3.954344	15.4023828	60.7449598
516	3.227877	64.6924916	3.4292936	11.6327066	105.1291216
517	3.0901198	43.0679158	3.0151958	8.2762938	49.330416
518	4.6762804	42.86584	3.942968	15.5049272	42.24572
520	4.9635946	40.5399406	4.9327376	15.2827484	44.6145168
522	26.9052564	73.5712784	19.0138694	34.2021332	84.9274666
525	4.0368328	83.5996048	3.2173272	15.0926888	42.0611372
526	4.828707	79.7569948	3.271344	15.612816	45.8295862
527	4.3822268	70.9439762	3.1898724	14.7094152	54.238248
528	3.3037538	64.9622138	2.7903252	8.0836344	95.8154216
529	3.195239	41.6754132	3.4748056	8.3916464	88.6857212
530	4.9252386	41.5313914	4.1776254	15.5549488	41.4481696
531	4.413798	86.38886	3.664444	15.2652764	88.1509188
532	4.9925936	41.5083058	4.9212812	16.268968	40.8378528
533	23.0984272	86.5721224	16.106855	36.4423506	87.2766788
535	5.1449224	54.3089488	3.949722	15.7844844	34.6216158
536	4.1780928	67.8470866	3.5342412	15.702706	117.5075932
537	3.9240778	75.6759628	4.0220546	13.873546	121.2573116
539	3.788429	43.3474546	4.3377758	26.6273662	95.5218412
540	3.2282398	52.778941	3.5505434	11.6231168	66.1298516
541	5.3186892	125.576164	3.790762	16.2114004	62.4191788
543	24.0025296	86.478406	17.6607416	31.221773	79.1189772
545	4.1970292	54.3814056	3.3345212	15.33328	54.4869652
546	4.8569464	70.1220534	3.7870744	15.8009496	84.8401384
548	5.2534882	93.4676884	3.2235798	15.3312442	62.4474472
550	4.392238	64.530088	4.3069264	16.6709072	47.1022484
551	3.77552	44.1443518	3.5340482	10.9078546	55.7648984
552	3.3532994	43.4966678	2.556507	10.5984416	84.3754348
553	28.3936506	81.3188384	17.5540338	34.9537954	422.1799654
555	3.6053688	51.0337376	2.937683	15.6114188	54.759124
556	5.8634976	43.7890858	4.6710156	15.0468472	45.1071762
559	3.8267244	70.5294722	3.3427158	15.1861834	99.107632
560	4.1071924	83.6084472	3.6278944	14.3665118	83.679398
561	3.8002158	53.7398838	3.561096	13.3445456	57.308104
562	3.522651	52.43161	2.7790314	16.070384	46.0035326
